#time	V(u2)	V(v1)
0.000000000000000e+000	5.230039e-004	0.000000e+000
1.123478682632495e-008	5.115213e-004	4.951200e-005
2.246957365264990e-008	4.923297e-004	9.902400e-005
3.370436047897485e-008	4.654290e-004	1.485360e-004
4.493914730529980e-008	4.308193e-004	1.980480e-004
5.617393413162475e-008	3.885005e-004	2.475600e-004
6.740872095794970e-008	3.384727e-004	2.970720e-004
7.864350778427462e-008	2.807358e-004	3.465840e-004
5.180534078583398e-006	-2.225832e-002	2.288411e-002
1.028242464938252e-005	-4.471582e-002	4.534037e-002
1.538431522018165e-005	-6.709176e-002	6.771537e-002
2.048620579098077e-005	-8.938615e-002	9.000910e-002
2.558809636177989e-005	-1.115990e-001	1.122216e-001
3.068998693257901e-005	-1.337302e-001	1.343528e-001
3.579187750337812e-005	-1.557800e-001	1.564027e-001
4.207759178909240e-005	-1.828008e-001	1.833758e-001
4.836330607480667e-005	-2.093957e-001	2.099595e-001
5.464902036052094e-005	-2.355645e-001	2.361538e-001
6.093473464623521e-005	-2.613074e-001	2.619588e-001
6.722044893194947e-005	-2.866242e-001	2.873743e-001
7.350616321766376e-005	-3.115149e-001	3.124004e-001
7.979187750337801e-005	-3.359797e-001	3.370371e-001
8.222044893194943e-005	-3.452256e-001	3.463831e-001
8.464902036052086e-005	-3.542283e-001	3.556427e-001
8.707759178909228e-005	-3.629880e-001	3.648161e-001
8.950616321766370e-005	-3.715046e-001	3.739030e-001
9.193473464623513e-005	-3.797782e-001	3.829037e-001
9.436330607480654e-005	-3.878086e-001	3.918181e-001
9.679187750337796e-005	-3.955960e-001	4.006461e-001
1.000775917890922e-004	-4.053029e-001	4.124454e-001
1.033633060748065e-004	-4.142079e-001	4.240560e-001
1.066490203605208e-004	-4.223110e-001	4.354779e-001
1.099347346462351e-004	-4.296122e-001	4.467112e-001
1.132204489319493e-004	-4.361114e-001	4.577558e-001
1.165061632176636e-004	-4.418088e-001	4.686118e-001
1.197918775033779e-004	-4.467041e-001	4.792791e-001
1.233633060748065e-004	-4.513495e-001	4.906418e-001
1.269347346462350e-004	-4.556029e-001	5.017428e-001
1.305061632176636e-004	-4.594642e-001	5.125821e-001
1.340775917890922e-004	-4.629334e-001	5.231597e-001
1.376490203605207e-004	-4.660106e-001	5.334757e-001
1.412204489319493e-004	-4.686958e-001	5.435300e-001
1.447918775033778e-004	-4.709889e-001	5.533226e-001
1.520775917890921e-004	-4.750424e-001	5.724836e-001
1.593633060748064e-004	-4.786457e-001	5.903544e-001
1.666490203605206e-004	-4.817987e-001	6.069350e-001
1.739347346462349e-004	-4.845014e-001	6.222253e-001
1.812204489319492e-004	-4.867539e-001	6.362254e-001
1.885061632176634e-004	-4.885561e-001	6.489353e-001
1.957918775033777e-004	-4.899080e-001	6.603549e-001
2.135061632176637e-004	-4.926638e-001	6.820915e-001
2.312204489319496e-004	-4.943147e-001	6.952592e-001
2.489347346462356e-004	-4.948609e-001	6.998578e-001
2.666490203605215e-004	-4.943022e-001	6.958874e-001
2.843633060748075e-004	-4.926388e-001	6.833481e-001
3.020775917890935e-004	-4.898705e-001	6.622397e-001
3.197918775033794e-004	-4.859974e-001	6.325623e-001
3.257918775033796e-004	-4.843500e-001	6.207407e-001
3.317918775033797e-004	-4.822772e-001	6.080821e-001
3.377918775033799e-004	-4.797789e-001	5.945865e-001
3.437918775033800e-004	-4.768552e-001	5.802540e-001
3.497918775033801e-004	-4.735059e-001	5.650845e-001
3.557918775033803e-004	-4.697313e-001	5.490781e-001
3.617918775033804e-004	-4.655311e-001	5.322347e-001
3.649347346462376e-004	-4.630123e-001	5.231255e-001
3.680775917890949e-004	-4.600978e-001	5.138208e-001
3.712204489319521e-004	-4.567875e-001	5.043207e-001
3.743633060748093e-004	-4.530814e-001	4.946250e-001
3.775061632176665e-004	-4.489796e-001	4.847340e-001
3.806490203605238e-004	-4.444819e-001	4.746474e-001
3.837918775033810e-004	-4.395885e-001	4.643654e-001
3.872204489319525e-004	-4.333608e-001	4.529379e-001
3.906490203605240e-004	-4.262557e-001	4.413133e-001
3.940775917890955e-004	-4.182733e-001	4.294914e-001
3.975061632176670e-004	-4.094136e-001	4.174723e-001
4.009347346462385e-004	-3.996765e-001	4.052560e-001
4.043633060748101e-004	-3.890621e-001	3.928425e-001
4.077918775033816e-004	-3.775703e-001	3.802318e-001
4.105061632176673e-004	-3.680546e-001	3.701260e-001
4.132204489319531e-004	-3.583408e-001	3.599197e-001
4.159347346462389e-004	-3.484289e-001	3.496127e-001
4.186490203605247e-004	-3.383190e-001	3.392053e-001
4.213633060748105e-004	-3.280111e-001	3.286973e-001
4.240775917890962e-004	-3.175051e-001	3.180888e-001
